inicio,varinicio,varfim,escreva,leia,se,entao,fimse,fim,inteiro,literal,real,NUM,LIT,ID,$,OPR,ATR,OPA,AB_P,FC_P,PT_V,VIR
,,,R-LV-varfim PT_V,R-LV-varfim PT_V,R-LV-varfim PT_V,,,R-LV-varfim PT_V,,,,,,R-LV-varfim PT_V,,,,,,,,
,,,R-LV-D LV,R-LV-D LV,R-LV-D LV,,,R-LV-D LV,,,,,,R-LV-D LV,,,,,,,,
,,,R-ES-leia ID PT_V,R-ES-leia ID PT_V,R-ES-leia ID PT_V,,R-ES-leia ID PT_V,R-ES-leia ID PT_V,,,,,,R-ES-leia ID PT_V,,,,,,,,
,,,R-ES-escreva ARG PT_V,R-ES-escreva ARG PT_V,R-ES-escreva ARG PT_V,,R-ES-escreva ARG PT_V,R-ES-escreva ARG PT_V,,,,,,R-ES-escreva ARG PT_V,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,S-54,
,,,,,,,,,,,,,,,,,,S-55,,,R-LD-OPRD,
,,,,,,,,,,,,,,,,R-OPRD-ID,,R-OPRD-ID,,R-OPRD-ID,R-OPRD-ID,
,,,,,,,,,,,,,,,,R-OPRD-NUM,,R-OPRD-NUM,,R-OPRD-NUM,R-OPRD-NUM,
,,,R-CP-ES CP,R-CP-ES CP,R-CP-ES CP,,R-CP-ES CP,R-CP-ES CP,,,,,,R-CP-ES CP,,,,,,,,
,,,R-CP-CMD CP,R-CP-CMD CP,R-CP-CMD CP,,R-CP-CMD CP,R-CP-CMD CP,,,,,,R-CP-CMD CP,,,,,,,,
,,,R-CP-COND CP,R-CP-COND CP,R-CP-COND CP,,R-CP-COND CP,R-CP-COND CP,,,,,,R-CP-COND CP,,,,,,,,
